date,open,high,low,close,volume
25/5/99,43.6362,44.2721,42.073,42.2585,7533384
26/5/99,42.8149,43.6097,41.4901,43.4375,11348906
27/5/99,43.2652,44.027,42.7088,43.3977,9891835
28/5/99,43.6627,44.3515,43.1063,44.1131,5498024
1/6/99,44.0336,44.2456,42.8944,43.1328,2950495
2/6/99,43.1063,44.0866,42.0266,43.8614,5085472
3/6/99,44.1926,44.1926,42.9739,43.2388,4725662
4/6/99,43.5567,44.7159,43.5567,44.5635,5505399
7/6/99,44.8748,45.7756,44.7755,45.4908,4871484
8/6/99,45.5967,45.8087,44.1197,44.3515,3448417
9/6/99,44.5105,45.2193,44.484,45.0934,3554229
10/6/99,44.6165,44.8814,44.0402,44.5767,3981527
11/6/99,44.8814,44.9278,43.5037,43.9011,7023159
14/6/99,44.0601,44.0601,42.9738,43.0732,5992725
15/6/99,43.1791,43.9739,43.0532,43.7156,3877833
16/6/99,44.802,45.9611,44.749,45.9611,6384166
17/6/99,45.3583,46.6831,45.3583,46.4711,6900487
18/6/99,46.0471,46.8155,45.9677,46.683,2286058
21/6/99,47.0009,48.1071,46.9215,48.0806,4478687
22/6/99,47.7958,48.4051,46.63,46.63,4604840
23/6/99,46.6367,47.4779,46.3386,47.3653,4072501
24/6/99,47.3454,47.3719,46.2061,46.4247,6353894
25/6/99,46.736,47.1069,45.9412,46.3651,3660713
28/6/99,46.7625,47.5308,46.3783,47.4646,3249772
29/6/99,47.4248,48.2992,47.1864,48.1137,3815353
30/6/99,48.1601,50.8162,47.5905,48.8556,8252506
1/7/99,49.0145,49.4649,48.1667,49.1867,2892163
2/7/99,49.1734,49.8623,49.1734,49.8093,1399747
6/7/99,50.0743,50.5777,49.2265,49.4914,3728197
7/7/99,49.4649,49.7829,49.1205,49.5709,4459526
8/7/99,49.5709,50.4386,49.3325,50.2333,4758386
9/7/99,50.4187,50.7896,50.0477,50.7366,1776687
12/7/99,50.9221,51.187,50.1803,50.4717,3313360
13/7/99,50.2333,50.4188,49.8359,50.2333,2640957
14/7/99,50.7367,51.1871,50.0213,51.0877,2928960
15/7/99,51.2666,51.558,50.9817,51.558,2772284
16/7/99,51.5845,52.3263,51.5646,52.0349,2083007
19/7/99,52.2468,52.2468,51.2997,51.505,2896573
20/7/99,50.8757,50.9486,49.3854,49.5179,6289711
21/7/99,49.6239,50.1869,49.2265,49.7564,4654698
22/7/99,49.7563,49.7563,48.3521,48.4912,6421542
23/7/99,48.8555,49.0609,48.0607,48.5641,5135660
26/7/99,47.9018,48.4317,47.2924,47.3719,4544311
27/7/99,48.3257,49.0675,47.915,48.3257,5821466
28/7/99,48.9085,49.5444,48.2792,49.2728,4307678
29/7/99,48.3522,48.7496,47.7428,48.2197,5525151
30/7/99,48.4316,48.9615,47.9083,47.9812,4640701
2/8/99,48.0608,49.0146,47.6633,47.8488,4087506
3/8/99,48.5045,48.5111,46.8419,47.5374,5512935
4/8/99,47.5374,47.8951,46.6366,46.6764,5607303
5/8/99,46.683,47.4182,45.5702,47.4182,7925062
6/8/99,47.0804,47.9547,46.577,46.9082,5253170
9/8/99,47.0804,47.2129,46.2127,46.3055,3384239
10/8/99,46.1796,46.5175,44.8814,45.8882,7107775
11/8/99,46.7095,47.4779,46.0074,47.3984,5553810
12/8/99,47.5838,47.9018,46.736,46.842,5390009
13/8/99,47.8222,48.935,47.7427,48.882,6079956
16/8/99,48.8555,49.4384,48.5376,49.2728,4862490
17/8/99,49.7034,49.7563,48.6171,49.5179,4836126
18/8/99,49.2794,49.8888,48.776,48.9615,2982285
19/8/99,48.5112,48.8556,48.0674,48.3787,4305990
20/8/99,48.4317,49.147,48.1667,49.147,2933792
23/8/99,49.5974,50.7102,49.4848,50.7102,4091577
24/8/99,50.3393,51.611,50.2399,51.0546,5888696
25/8/99,51.3725,52.3528,50.8161,52.1408,4812214
26/8/99,52.1408,52.3263,51.1936,51.2731,4134384
27/8/99,51.6573,51.6639,50.6306,50.7631,4084533
30/8/99,50.9751,51.1341,49.9153,50.0478,4299119
31/8/99,50.3922,50.9221,49.2795,50.6042,6185010
1/9/99,50.9221,51.399,50.6042,50.9685,4557875
2/9/99,50.0213,51.0545,49.9153,50.7896,6181950
3/9/99,52.2468,53.141,52.0613,53.1211,6017558
7/9/99,53.0152,53.5451,52.8032,52.8827,3819000
8/9/99,52.5647,53.0946,51.7434,52.1673,6063340
9/9/99,52.1939,53.0417,51.9289,52.9092,5374155
10/9/99,53.6246,54.0419,53.0152,53.5186,4345498
13/9/99,53.4656,53.5716,52.5913,52.8761,3069444
14/9/99,52.6707,53.5384,52.5647,53.1675,4248673
15/9/99,53.8298,53.8298,52.0878,52.1408,6823238
16/9/99,52.1144,52.5913,51.0347,52.1144,6515916
17/9/99,52.5912,53.7835,52.5117,53.6775,6149396
20/9/99,53.8365,54.0485,53.4391,53.8034,2622813
21/9/99,53.3331,53.4391,52.3594,52.5118,5199590
22/9/99,52.5912,53.3463,51.9553,53.0681,5274190
23/9/99,53.6245,53.7305,50.5578,50.8691,8378989
24/9/99,50.5512,51.134,49.7033,50.9353,9991875
27/9/99,51.6639,52.0348,51.134,51.293,5344985
